text,emotion
Holding a kitten. have a nice start to the day！,happy
👏🏾 for my babies!! Huge day today! Youngest started his first day!,happy
This Dutch social worker uses power of play to make nursing home's residents more active and happier,happy
Such a beautiful day … Tea and hot cross bun out on the land with my best lad ….,happy
A moment of calm 🙏from the farm … Skylark and lambs Teal & Snipe soak up some rare sunshine ☀️ in the farm garden …,happy
Rise and Shine 🌞 💗💗,happy
"It was cold, but a beautiful nawroz , i hope you all enjoyed it too!🔥☀️❤️",happy
sweet flowers for sweet freinds,happy
I think I shall maintain this short hair for a long time😁😊🥰,happy
Don't give up.Unexpected blessings and miracles are on the way.Your Sai will make it happen.Victory is yours,happy
Happy 18th birthday to this incredible son of mine,happy
"With music and a glass of wine, and the lighting, it's the most relaxed moment",happy
"First tulips out this season, small but beautiful",happy
There’s still some work to do but we will be open for book exchange next week… thank you for your patience everyone!,happy
OMG 😱 Thank you for this Special Bear!! 🥳 Your Art is always fire 🔥 Crazy Bears Forever!!,happy
Redeye flights suck but coming home and snagging the Omega / Swatch Earth watch doesn’t. Getting close to finishing the collection! Yassss.,happy
It’s no April Fools joke. I’ll be at the weather wall delivering your forecasts every weekend morning starting this weekend!,happy
Everything is heading in the right direction,happy
How can you not love what you do when you get to see these faces every day,happy
I love sourdough. I love Dungeness crab. Boudin has answered the call like they always do. I’m in a food coma. Worth it.,happy
RESELLERS PLEASE DON’T BE CHEAP WITH YOUR SHIPPING,angry
"Wow it looks like BurgerKingUK don't care about their customers, I have been waiting for them to reply to my emails and nothing",angry
"I had people, I'd go door to door. They hired other ""types"" for a decade for restaurants. I was so hurt. This was a nice spot. My friends and I had get togethers. Then nasty females STOLE. They Stole our my neighborhood. She Stole my job, my home, my spots.",angry
We can't go on foolishly thinking that people and the world are going to change; we have to change.,angry
6 more dead 3 of which are children. Fuck guns.. fuck people that make guns.. Fuck people who worship these man made killing weapons that serve no purpose other then to steal life.,angry
Tbh I don’t like anything anymore. Everything just makes me feel like,angry
I love Pinterest. But it had to go nuclear cos asshole pedophiles ruined it. Seriously.,angry
This is not even funny anymore,angry
"Fix your bank and stop this auto-response to form engaging your clients based. You are messing people up with your epileptic and unstable link, my whole plan for today messed up by your bank.",angry
"Errrg! I'm so angry. I don't understand why ANYONE would like that stupid game, but Fanboy says I'm wrong. We haven't spoken all day. What a jerk!",angry
also told to rate the restaurant and driver too. Such a weird policy. Not sure what else I can do,angry
Tory voters not accepting the last few years are your own fault. You voted for this shit (in the river!) so suck it up buttercup,angry
More bad economic news?! How many times are we going to hear about rising unemployment and stagnant wages? This is a complete failure of our leaders to prioritize the needs of hardworking Americans over their own self interests,angry
yeah so on top of all of this shit I need practice every week like I need a hole in my fuckin’ head — if I’m even free to make the night we pick in the first place,angry
Where normally my patience is quite long. Today I'm done with it. Wise answers I pulverize and show no mercy . My neighbor just found out. No man the world doesn't just run on you. And hopefully the rats will come out of the sewer to warm your house.,angry
"It’s sad, cuz EVERYONE KNOWS whose FAULT this is!!",angry
"Why oh why?A neighbours cat was shot the other day by someone with an air rifle. Severely injured it’s rear leg. Staggered home, and taken to vets. And it is a very respectable area, a friendly community too.",angry
I hate my heart ! Yo like can I get any dumber I hate I’m suck a good person to people I believe deserve it !,angry
"i am so sick and tired of the constant chaos and destruction in this world. Every day it feels like there is more violence, hatred, and injustice happening. When will humanity wake up?!",angry
"If the politicians of the USA would focus 1/10th of their energy towards firearm reform instead of how individuals choose to identify or who they sleep with or the females health choices, etc.maybe just maybe mass casualties from firearms would be reducing not increasing",angry
"Every moment without you, is a moment of time lost...",sad
"Is anyone out there, who is sometimes heartbroken because of a fictional character?😭😭 It is so crazy, but it hurts so much, I could cry and scream in pain!!😔💔",sad
It hurts to let go but sometimes it hurts more to hold on... #life #sad,sad
IM GONNA FAIL MY LAST 3 TESTS BEFORE EXAMS TOMORROW.,sad
Giving out calls to anyone who feels like they're alone ❤ you're not alone ❤,sad
Dog Says Her Final Goodbyes To Her Savior,sad
I have never felt this low in my life.,sad
"My partner at work quit today. His last day is tomorrow. He’s kind, intelligent, & insightful. He constantly works to become a better human. We share stories and laugh a lot. He’s one of the few colleagues I consider to be an actual friend. I’m going to miss him a lot. 😢",sad
"Just broke up with my bf 💔, and even though I know he isn’t the one, it still freaking hurts like a bullet to the chest. Definitely will be writing about it lol",sad
"It's been two weeks today since we lost my wonderful Dad, another two weeks before his funeral. Someone tell me how I can feel any motivation for anything. I don't even have any tears at the moment. All I feel is tired and lethargic.",sad
"I feel bad,I fell lonely but I’m fine",sad
Loneliness doesn't come from being alone; it comes from feeling that nobody cares.💔,sad
"U ever been so disappointed in someone that you forgive them & don't say anything, but in your head u detach yourself from them completely",sad
I’m nervous for my final exams at the end of June. I worry every night and makes me really sad and depressed. I try to stay positive all the time though this is the only time of year that I’m mainly sad. 😭😭😭😭,sad
Missing someone badly....🥺💔🥀,sad
Lost all the notes prepared for tomorrow's exam. I am going to fail this time.,sad
